id,carrier,player,approver,amountOfCarries,carryDifficulty,carryType,attachmentLink,time
149,990991977833197578,974714890461798440,356134481452597250,24,F6,S,https://cdn.discordapp.com/attachments/796770232340578365/1067476569922215976/transcript-closed-f6-16-xidion.html,2023-01-24 17:09:47
150,834371688963506217,413768182080471050,,2,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1067552709961592932/transcript-closed-t3-eman-20-hogue.html,2023-01-24 22:13:02
151,834371688963506217,698180929021018183,,4,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067552919471276043/transcript-t4-eman-resi.html,2023-01-24 22:13:58
152,256122701884817419,974714890461798440,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067553393041756232/transcript-closed-f7-16-xidion.html,2023-01-24 22:15:52
153,834371688963506217,410464422272958474,356134481452597250,5,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067552799103123567/transcript-t4-eman-14-therird.html,2023-01-24 22:13:31
154,834371688963506217,413768182080471050,356134481452597250,6,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067552709961592932/transcript-closed-t3-eman-20-hogue.html,2023-01-24 22:12:33
155,990991977833197578,988908801262497812,,1,F7,S,https://cdn.discordapp.com/attachments/796770232340578365/1067560950275772416/transcript-closed-f7-24-mc_schneggi.html,2023-01-24 22:41:10
156,1025423349100318720,988908801262497812,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067560950275772416/transcript-closed-f7-24-mc_schneggi.html,2023-01-24 22:40:43
157,1025423349100318720,817355736396726282,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067560965878595594/transcript-closed-f7-24-blaze527451.html,2023-01-24 22:40:49
158,834371688963506217,475039477316714517,,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067564809006108815/transcript-closed-t3-eman-17-xafi_.html,2023-01-24 23:00:45
159,834371688963506217,475039477316714517,884589309037011015,24,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1067564809006108815/transcript-closed-t3-eman-17-xafi_.html,2023-01-24 23:00:38
160,1025423349100318720,527336763903967242,,1,F7,S,https://cdn.discordapp.com/attachments/796770232340578365/1067565934044270692/transcript-closed-f7-35-ft3.html,2023-01-24 22:14:45
161,990991977833197578,527336763903967242,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067565934044270692/transcript-closed-f7-35-ft3.html,2023-01-24 22:15:51
162,990991977833197578,527336763903967242,,1,F7,S,https://cdn.discordapp.com/attachments/796770232340578365/1067565934044270692/transcript-closed-f7-35-ft3.html,2023-01-24 22:41:24
163,834371688963506217,865665384903606273,,3,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067566183265611896/transcript-closed-t3-eman-11-_s4_.html,2023-01-24 23:05:38
164,834371688963506217,865665384903606273,,1,EMAN,Tier 3,https://cdn.discordapp.com/attachments/796770232340578365/1067566183265611896/transcript-closed-t3-eman-11-_s4_.html,2023-01-24 23:05:47
